warn message-400.4015922546387-game_logic-30-1456369887.4004016-2016-02-25 11:11:27,400-TEST-LOG-WARNING-warn message-game_logic.py
2016-02-25 15:30:37,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:37,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:37,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:37,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:37,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:59,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:59,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:59,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:59,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:59,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:59,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:30:59,916-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:31:44,235-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:31:53,692-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:31:53,692-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:34:04,786-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:34:46,245-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:36:09,874-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:36:34,366-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:36:34,366-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:38:52,760-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:04,449-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:04,449-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:18,920-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:18,920-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:18,920-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:39,648-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:39,648-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:39,648-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:39,648-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:50,712-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:50,712-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:50,712-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:50,712-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:39:50,712-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:40:12,224-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:40:12,224-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:40:12,224-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:40:12,224-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:40:12,224-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:40:12,224-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:42:01,607-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:42:16,535-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:42:16,535-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:12,833-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:12,833-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:12,833-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:29,151-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:29,151-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:29,151-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:29,151-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:47,767-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:47,767-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:47,767-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:47,767-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:43:47,767-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:44:10,118-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:44:10,118-TEST_LOG-CRITICAL-critical message-game_logic.py
2016-02-25 15:44:10,118-TEST_LOG-CRITICAL-critical message-game_logic.py
